date,cloud_amount,frost_days,profile_soil_moisture,root_soil_wetness,surface_soil_wetness,corrected_precipitation,surface_pressure,specific_humidity,relative_humidity,average_temperature,frost_point,max_temperature,min_temperature,wind_speed,point,latitude,longitude,country_iso3_id
1981-01,,0.0,0.19,0.19,0.15,0.11,101.73,5.36,42.36,18.61,4.45,29.83,11.33,3.78,point_1,21.25,-17.0,ESH
1981-02,,0.0,0.19,0.19,0.13,0.09,101.46,7.07,59.1,18.0,8.12,30.57,11.2,4.48,point_1,21.25,-17.0,ESH
1981-03,,0.0,0.19,0.18,0.1,0.01,101.37,8.35,58.43,21.54,10.68,34.31,13.65,5.09,point_1,21.25,-17.0,ESH
1981-04,,0.0,0.19,0.18,0.1,0.04,101.31,9.08,67.15,19.82,12.46,28.61,14.19,6.49,point_1,21.25,-17.0,ESH
1981-05,,0.0,0.18,0.18,0.1,0.02,101.28,9.87,67.89,21.09,13.74,32.07,14.88,6.54,point_1,21.25,-17.0,ESH
1981-06,,0.0,0.18,0.18,0.11,0.03,101.26,11.42,69.54,22.97,16.06,32.44,17.43,6.63,point_1,21.25,-17.0,ESH
1981-07,,0.0,0.18,0.18,0.1,0.02,101.05,12.55,71.65,23.77,17.57,34.48,18.24,6.1,point_1,21.25,-17.0,ESH
1981-08,,0.0,0.18,0.18,0.12,0.05,101.08,12.97,69.89,24.87,18.04,38.24,18.35,5.23,point_1,21.25,-17.0,ESH
1981-09,,0.0,0.19,0.19,0.17,0.52,101.19,12.6,67.55,25.11,17.58,39.22,18.33,5.51,point_1,21.25,-17.0,ESH
1981-10,,0.0,0.19,0.19,0.14,0.05,101.28,12.4,74.71,22.91,17.4,33.71,17.23,5.36,point_1,21.25,-17.0,ESH
1981-11,,0.0,0.19,0.19,0.15,0.21,101.34,9.09,57.23,22.3,11.74,31.52,14.39,3.65,point_1,21.25,-17.0,ESH
1981-12,,0.0,0.19,0.19,0.12,0.03,101.54,8.01,60.08,19.69,10.2,32.07,12.76,4.18,point_1,21.25,-17.0,ESH
1981-13,,0.0,0.19,0.18,0.12,0.1,101.32,9.9,63.8,21.72,13.17,39.22,11.2,5.25,point_1,21.25,-17.0,ESH
1982-01,,0.0,0.19,0.19,0.13,0.1,101.61,6.37,50.09,18.97,6.48,29.76,11.4,3.95,point_1,21.25,-17.0,ESH
1982-02,,0.0,0.19,0.18,0.11,0.02,101.47,8.55,68.52,18.5,11.23,29.2,10.93,4.88,point_1,21.25,-17.0,ESH
1982-03,,0.0,0.18,0.18,0.1,0.03,101.26,7.71,55.89,20.69,9.29,33.58,14.11,4.7,point_1,21.25,-17.0,ESH
1982-04,,0.0,0.18,0.18,0.1,0.01,101.27,9.62,68.87,20.31,13.34,30.73,14.18,4.95,point_1,21.25,-17.0,ESH
1982-05,,0.0,0.19,0.18,0.15,0.24,101.27,10.55,72.1,20.86,14.8,28.67,15.09,6.22,point_1,21.25,-17.0,ESH
1982-06,,0.0,0.18,0.18,0.11,0.01,101.34,10.63,68.77,22.13,14.93,32.62,15.68,6.73,point_1,21.25,-17.0,ESH
1982-07,,0.0,0.18,0.18,0.11,0.03,101.14,12.14,70.92,23.48,17.03,40.13,17.35,6.05,point_1,21.25,-17.0,ESH
1982-08,,0.0,0.18,0.18,0.11,0.02,101.09,12.25,69.16,24.19,17.14,36.46,18.07,5.7,point_1,21.25,-17.0,ESH
1982-09,,0.0,0.18,0.18,0.11,0.05,101.29,11.98,69.22,23.86,16.8,33.69,18.71,6.29,point_1,21.25,-17.0,ESH
1982-10,,0.0,0.19,0.19,0.16,0.53,101.32,10.35,63.53,22.81,14.34,36.98,16.36,4.89,point_1,21.25,-17.0,ESH
1982-11,,0.0,0.19,0.19,0.12,0.02,101.42,7.75,53.96,20.9,9.43,31.07,14.21,3.68,point_1,21.25,-17.0,ESH
1982-12,,0.0,0.19,0.19,0.12,0.06,101.85,5.95,50.08,17.39,5.83,27.09,9.52,4.84,point_1,21.25,-17.0,ESH
1982-13,,0.0,0.18,0.18,0.12,0.09,101.36,9.49,63.43,21.17,12.55,40.13,9.52,5.24,point_1,21.25,-17.0,ESH
1983-01,,0.0,0.2,0.2,0.17,0.38,101.79,5.41,43.73,18.21,4.46,29.41,9.82,4.01,point_1,21.25,-17.0,ESH
1983-02,,0.0,0.19,0.19,0.11,0.01,101.53,7.22,55.89,19.5,8.53,31.86,11.72,3.91,point_1,21.25,-17.0,ESH
1983-03,,0.0,0.19,0.19,0.11,0.06,101.35,9.1,64.24,20.86,12.22,32.64,13.73,4.63,point_1,21.25,-17.0,ESH
1983-04,,0.0,0.19,0.18,0.11,0.05,101.19,9.51,67.99,20.58,13.03,37.03,14.75,5.89,point_1,21.25,-17.0,ESH
1983-05,,0.0,0.19,0.18,0.12,0.04,101.26,9.82,67.46,20.9,13.74,31.14,15.17,6.86,point_1,21.25,-17.0,ESH
1983-06,,0.0,0.19,0.18,0.13,0.11,101.2,11.49,69.14,23.08,16.16,40.13,16.87,5.94,point_1,21.25,-17.0,ESH
1983-07,,0.0,0.18,0.18,0.1,0.01,101.09,11.56,66.89,23.92,16.24,38.98,17.3,6.64,point_1,21.25,-17.0,ESH
